Events,FE-A,FE-B,FE-C,FE-D,FE-E,FE-F,SE-COM-A,SE-COM-B,SE-AI-C,SE-AI-D,SE-IT,SE-DE,TE-COM-A,TE-COM-B,TE-AI-C,TE-AI-D,TE-IT,TE-DE,BE-COM-A,BE-COM-B,BE-AI-C,BE-AI-D,BE-IT,BE-DE,CIVIL
Cricket,0,0,0,0,0,20,20,40,40,40,40,640,0,0,0,0,20,0,0,40,0,0,0,0,0
Football,20,40,40,0,360,0,0,0,20,0,20,20,0,0,640,0,20,20,20,0,20,0,20,0,0
Volleyball,0,0,0,0,0,0,1260,0,60,0,0,340,80,0,20,0,20,0,20,20,20,0,0,0,0
Kabbadi (B),20,0,20,0,0,0,0,0,0,0,40,640,0,0,0,0,60,20,20,0,0,0,360,0,40
Kabbadi (G),0,0,0,0,0,0,0,20,0,0,0,40,20,340,0,0,0,0,0,0,20,0,1260,0,0
Throw Ball,40,20,0,40,0,0,20,260,0,0,0,20,40,0,20,0,0,0,0,0,440,0,20,0,0
Tug Of War (B),0,0,0,0,0,40,0,880,20,0,20,40,280,0,0,0,0,0,0,0,40,0,0,0,0
Tug Of War (G),0,0,0,0,820,220,0,0,0,0,0,0,20,20,0,0,0,0,0,0,150,0,0,0,0
100m (B),0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,100,0,0,0,0
200m (B),0,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100m (G),0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0
200m (G),0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
400m Relay (B),0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0
400m Relay (G),0,0,0,0,0,0,0,0,0,0,0,400,0,200,0,0,0,0,0,0,0,0,0,0,0
400m Mixed Relay,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,400,0,0,0,0
Long Jump (B),0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,100,0,0,0,0
Long Jump (G),0,0,0,0,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0,0,0,0,0
Track and field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0
Box Cricket,0,0,0,0,440,20,0,0,0,40,0,20,0,0,0,0,20,0,0,0,240,0,0,0,0
Dodge Ball,0,0,0,20,0,0,0,220,0,0,0,20,20,0,0,0,0,0,0,0,440,0,20,0,0
Shot put (B),0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Shot put (G),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,200,0,0,0,0
Carrom (B),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Carrom (G),0,0,0,0,0,0,0,0,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
Chess (B),0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
Chess (G),0,0,0,100,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
Table tennis (B),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
Table tennis (G),0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
Dart (B),0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0
Dart (G),0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0,0
Badminton (B),0,0,0,0,0,0,0,0,0,100,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
Badminton (G),0,100,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arm Wrestling,0,0,0,0,0,0,0,0,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
Deartment Parade,0,0,0,0,0,0,0,0,600,600,0,0,0,0,600,600,0,0,0,0,600,600,0,0,300
Flashmob,0,0,0,0,0,0,0,0,300,300,600,0,0,0,300,300,600,0,0,0,300,300,600,0,0
Debate,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,200,0,0,0,0
Quiz,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0
Elocution,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,300,0,0,0,0
Blog Writing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,100,0,0,0,0
Cooking Without Fire/Mocktail Making,0,0,0,0,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0
Drama,0,0,0,0,0,0,0,0,200,200,0,400,0,0,200,200,0,400,0,0,200,200,0,400,0
Poster Making,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
Mehendi Design,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
Calligraphy,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
Solo Singing,200,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,100,0,0,0,0
Duet/Group Singing,0,0,0,0,0,0,0,0,400,400,0,200,0,0,400,400,0,200,0,0,400,400,0,200,0
Solo Dance,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,100,0,0
Duet Dance,0,0,0,0,0,0,0,0,0,0,0,0,400,0,200,0,0,0,0,0,0,0,0,0,0
Group Dance,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,200,0,0,0,0
Instrumental,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,100
Standup/Mimicry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,200,0,0,0,0
Fashion Show,0,0,0,0,0,0,0,0,600,600,0,300,0,0,600,600,0,300,0,0,600,600,0,300,0
Mr/Ms Aurora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spot Photography,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
Videography,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,100,0,0,0,0
Reel Making,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,100,0,0,0,0
Rangoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0
Story-telling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,100,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,480,260,60,260,1920,300,1300,1420,2640,3080,1020,4180,2160,1960,3380,2100,1840,1140,560,60,7470,2100,2480,900,840
