Sports Events,FE-A,FE-B,FE-C,FE-D,FE-E,FE-F,SE-COM-A,SE-COM-B,SE-AI-C,SE-AI-D,SE-IT,SE-DE,TE-COM-A,TE-COM-B,TE-AI-C,TE-AI-D,TE-IT,TE-DE,BE-COM-A,BE-COM-B,BE-AI-C,BE-AI-D,BE-IT,BE-DE,CIVIL
Cricket,0,0,0,0,0,20,20,40,40,40,40,640,0,0,0,0,20,0,0,40,0,0,0,0,0
Football,20,40,40,0,360,0,0,0,20,0,20,20,0,0,640,0,20,20,20,0,20,0,20,0,0
Volleyball,0,0,0,0,0,0,1260,0,60,0,0,340,80,0,20,0,20,0,20,20,20,0,0,0,0
Kabbadi (B),20,0,20,0,0,0,0,0,0,0,40,640,0,0,0,0,60,20,20,0,0,0,360,0,40
Kabbadi (G),0,0,0,0,0,0,0,20,0,0,0,40,20,340,0,0,0,0,0,0,20,0,1260,0,0
Throw Ball,40,20,0,40,0,0,20,260,0,0,0,20,40,0,20,0,0,0,0,0,440,0,20,0,0
Tug Of War (B),0,0,0,0,0,40,0,880,20,0,20,40,280,0,0,0,0,0,0,0,40,0,0,0,0
Tug Of War (G),0,0,0,0,820,220,0,0,0,0,0,0,20,20,0,0,0,0,0,0,150,0,0,0,0
100m (B),0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,100,0,0,0,0
200m (B),0,0,0,0,0,0,0,0,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100m (G),0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0
200m (G),0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
400m Relay (B),0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0
400m Relay (G),0,0,0,0,0,0,0,0,0,0,0,400,0,200,0,0,0,0,0,0,0,0,0,0,0
400m Mixed Relay,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,400,0,0,0,0
Long Jump (B),0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,100,0,0,0,0
Long Jump (G),0,0,0,0,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0,0,0,0,0
Track and field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Box Cricket,0,0,0,0,440,20,0,0,0,40,0,20,0,0,0,0,20,0,0,0,240,0,0,0,0
Dodge Ball,0,0,0,20,0,0,0,220,0,0,0,20,20,0,0,0,0,0,0,0,440,0,20,0,0
Shot put (B),0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Shot put (G),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,200,0,0,0,0
Carrom (B),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
Carrom (G),0,0,0,0,0,0,0,0,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
Chess (B),0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
Chess (G),0,0,0,100,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0
Table tennis (B),100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
Table tennis (G),0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0
Dart (B),0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0
Dart (G),0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,100,0,0,0,0,0,0,0,0
Badminton (B),0,0,0,0,0,0,0,0,0,100,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0
Badminton (G),0,100,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arm Wrestling,0,0,0,0,0,0,0,0,0,100,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0
Track and field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0
TOTAL,280,160,60,260,1920,300,1300,1420,240,980,320,2580,860,1560,1080,0,540,140,460,60,3370,0,1680,0,440
